id,title,type,contact,email
aboriginal-and-torres-strait-islander-partnerships,Aboriginal and Torres Strait Islander Partnerships,,,
agriculture-and-fisheries,Agriculture and Fisheries,,,
communities-child-safety-and-disability-services,"Communities, Child Safety and Disability Services",,,
education-and-training,Education and Training,,,
energy-and-water-supply,Energy and Water Supply,,,
environment-and-heritage-protection,Environment and Heritage Protection,,,
housing-and-public-works,Housing and Public Works,,,
infrastructure-local-government-and-planning,"Infrastructure, Local Government and Planning ",,,
justice-and-attorney-general,Justice and Attorney-General,,,
national-parks-sport-and-racing,"National Parks, Sport and Racing",,,
natural-resources-and-mines,Natural Resources and Mines,,,
police,Police,,,
premier-and-cabinet,Premier and Cabinet,,,
public-safety-business-agency,Public Safety Business Agency,,,
queensland-fire-and-emergency-services,Queensland Fire and Emergency Services,,,
queensland-health,Queensland Health,,,
science-information-technology-and-innovation,"Science, Information Technology and Innovation",,,
state-development,State Development,,,
tourism-major-events-small-business-and-the-commonwealth-games,"Tourism, Major Events, Small Business and the Commonwealth Games",,,
transport-and-main-roads,Transport and Main Roads,,,
treasury,Treasury,,,
